,0,1,2,3,4,5,6,7,8
1,GZMA,DNAJC5B,LINC02195,IL3,IL17REL,UBE2C,SEMA5A,CCL18,LINC01539
2,PI16,UBD,SYT4,ADORA2B,LINC02757,ANLN,PKP2,S1PR5,TNNT2
3,TMEM200A,CXCL9,PMCH,ZNF704,XIRP1,DLGAP5,HPGDS,KLRC2,LAD1
4,WDR86-AS1,AL133475.1,SMPD3,OXCT2,LINC01055,DEPDC1,FAM9B,KLRC3,TFPI
5,TWIST1,TMC1,METTL7A,IL2,IL10,RRM2,IL13,KLRC4,UPK3A
6,RNF165,CHI3L2,LINC01727,GALNT18,ACTG2,HJURP,PTGDR2,CCL3,TIFAB
7,CES1,CD22,AL365226.2,ADGRA3,TNFRSF8,SPC25,ZP1,AC243829.2,CALCRL
8,CLU,CASR,SIM1,TNC,AP001189.5,HIST1H3B,KRT1,FCGR3A,TREML1
9,RAB6B,IL22,TSHR,LINC01281,AKR1C1,BIRC5,IL5,FGFBP2,IGKC
10,EPB41L4A,PLA1A,CSF2RB,GAL,AC012464.2,MCM10,CDO1,STXBP6,SLC6A12
